aX,aY,aZ,gX,gY,gZ
0.192,-0.080,-2.384,10.315,-68.420,0.732
0.176,0.001,-2.457,10.498,-87.891,6.653
0.167,0.131,-2.505,8.179,-108.826,11.963
0.161,0.251,-2.567,6.714,-129.395,13.672
0.118,0.325,-2.627,6.958,-150.452,11.047
0.045,0.336,-2.637,5.188,-175.537,5.676
-0.018,0.282,-2.602,2.563,-202.759,-0.793
-0.052,0.188,-2.507,5.737,-229.614,-6.348
-0.110,0.110,-2.346,8.240,-256.104,-9.460
-0.149,0.055,-2.177,12.451,-281.738,-9.949
-0.178,0.002,-2.001,14.282,-305.359,-8.911
-0.243,-0.031,-1.840,20.935,-324.280,-7.568
-0.314,-0.021,-1.640,26.184,-343.079,-6.470
-0.354,0.008,-1.423,28.809,-360.107,-5.493
-0.354,0.034,-1.187,27.710,-372.986,-5.371
-0.351,0.064,-0.945,26.367,-381.470,-5.981
-0.355,0.088,-0.717,23.865,-385.376,-7.385
-0.308,0.102,-0.519,20.386,-386.108,-9.033
-0.259,0.103,-0.354,20.935,-384.521,-10.803
-0.284,0.089,-0.248,25.940,-378.052,-14.099
-0.288,0.081,-0.112,27.161,-374.207,-17.883
-0.285,0.080,0.040,25.757,-373.169,-20.874
-0.313,0.092,0.208,23.254,-370.178,-23.560
-0.311,0.124,0.417,17.822,-368.774,-25.635
-0.266,0.156,0.640,10.925,-365.051,-27.710
-0.227,0.160,0.839,2.441,-354.980,-29.907
-0.173,0.147,1.033,-4.150,-338.562,-33.142
-0.112,0.087,1.194,-2.136,-319.275,-36.865
-0.048,0.010,1.322,-1.709,-294.312,-39.185
0.000,-0.051,1.421,0.671,-266.846,-39.185
0.036,-0.089,1.477,1.587,-237.488,-36.133
0.059,-0.090,1.500,4.089,-207.703,-31.128
0.095,-0.076,1.500,6.348,-179.504,-26.062
0.131,-0.061,1.477,7.874,-153.992,-21.973
0.151,-0.054,1.436,9.827,-130.493,-19.165
0.167,-0.053,1.397,10.193,-110.046,-17.212
0.193,-0.066,1.364,9.766,-92.163,-15.991
0.210,-0.086,1.328,8.667,-75.439,-15.076
0.218,-0.108,1.300,7.874,-60.059,-14.099
0.213,-0.122,1.284,8.484,-46.326,-12.634
0.200,-0.132,1.292,10.193,-34.607,-10.864
0.193,-0.142,1.321,11.780,-24.109,-8.911
0.161,-0.143,1.347,12.817,-12.268,-6.531
0.137,-0.136,1.385,13.123,-0.427,-4.456
0.126,-0.120,1.431,13.489,12.146,-1.770
0.115,-0.100,1.469,14.465,27.039,1.099
0.119,-0.086,1.489,16.052,43.457,3.662
0.132,-0.080,1.490,17.639,61.768,5.798
0.137,-0.080,1.461,20.386,81.665,7.568
0.141,-0.090,1.419,23.682,102.112,8.972
0.157,-0.107,1.369,24.902,121.216,10.620
0.166,-0.123,1.299,23.804,140.869,12.390
0.161,-0.140,1.199,22.888,161.438,14.099
0.141,-0.155,1.075,22.156,182.312,15.808
0.122,-0.150,0.978,21.362,197.815,18.250
0.117,-0.109,0.909,20.447,209.961,21.362
0.109,-0.037,0.861,21.240,220.703,24.780
0.111,0.040,0.812,23.682,231.995,27.283
0.124,0.106,0.760,25.879,243.347,28.259
0.128,0.131,0.668,27.405,257.751,27.344
0.114,0.124,0.538,28.809,274.414,25.085
0.097,0.103,0.395,31.250,289.673,23.132
0.110,0.076,0.240,31.433,303.040,21.790
0.095,0.046,0.057,29.358,317.383,20.874
0.073,0.021,-0.129,25.757,329.102,20.203
0.048,0.029,-0.298,20.996,336.365,20.386
0.026,0.059,-0.453,15.747,340.576,20.874
-0.000,0.103,-0.594,9.460,341.553,20.630
0.005,0.154,-0.678,1.099,335.999,19.104
0.017,0.215,-0.761,-5.005,329.041,16.785
0.037,0.246,-0.843,-8.850,324.097,13.245
0.037,0.247,-0.909,-9.338,318.420,8.301
0.039,0.215,-0.986,-3.723,314.758,2.563
0.035,0.160,-1.076,2.869,312.622,-1.831
0.025,0.098,-1.196,10.925,311.707,-4.089
0.036,0.032,-1.353,16.052,310.852,-4.517
0.017,-0.036,-1.548,16.907,306.702,-3.906
0.005,-0.098,-1.713,13.550,295.959,-1.892
0.026,-0.136,-1.857,8.423,282.715,1.648
0.033,-0.139,-1.984,3.357,267.395,6.470
0.063,-0.114,-2.054,-2.197,247.864,11.719
0.108,-0.083,-2.116,-5.981,232.056,15.991
0.136,-0.053,-2.203,-8.423,216.736,19.348
0.153,-0.012,-2.304,-9.155,201.111,22.339
0.164,0.056,-2.399,-7.751,182.678,25.269
0.183,0.146,-2.466,-5.798,160.278,27.405
0.208,0.238,-2.489,-3.723,135.620,27.954
0.239,0.306,-2.461,-1.648,110.107,26.123
0.260,0.323,-2.385,2.808,85.205,21.423
0.275,0.289,-2.286,6.531,62.195,15.808
0.276,0.236,-2.164,7.812,40.527,11.292
0.276,0.200,-2.005,6.836,20.264,8.545
0.286,0.198,-1.813,3.113,2.197,7.629
0.298,0.216,-1.612,-0.854,-10.498,7.019
0.312,0.229,-1.425,-5.798,-18.555,5.798
0.323,0.227,-1.270,-10.498,-21.912,3.662
0.329,0.206,-1.148,-12.634,-22.156,0.977
0.332,0.169,-1.058,-12.207,-20.203,-1.709
0.338,0.128,-0.997,-10.010,-17.090,-3.357
0.337,0.088,-0.961,-6.653,-13.062,-4.211
0.338,0.056,-0.954,-3.479,-7.690,-3.906
0.335,0.032,-0.970,-1.160,-2.869,-2.930
0.329,0.022,-0.999,-0.061,1.099,-1.221
0.328,0.035,-1.035,0.549,3.357,0.854
0.333,0.063,-1.071,0.000,4.272,2.808
0.331,0.094,-1.103,-1.160,3.784,3.845
0.327,0.123,-1.120,-2.380,2.014,3.540
0.331,0.137,-1.122,-3.357,-0.488,2.441
0.333,0.122,-1.118,-3.784,-2.991,0.793
0.328,0.090,-1.104,-4.456,-5.798,-0.977
0.322,0.059,-1.079,-4.456,-8.545,-1.831
0.323,0.041,-1.030,-4.272,-11.230,-1.648
0.328,0.040,-0.972,-3.723,-12.878,-0.916
0.334,0.047,-0.919,-2.441,-13.245,0.061
0.338,0.047,-0.883,-1.709,-12.390,0.244
0.342,0.039,-0.863,-1.770,-10.559,0.427
0.345,0.036,-0.867,-1.526,-7.324,0.916
